fid;left;top;right;bottom;left;top;right;bottom;Final count;Final average;;;;;;;;;;;;;;;;
182;743000;1040000;742000;1041000;460356,2922;5556621,379;461347,7107;5555630,015;0;0;0;;;;;;;;;;;;;;;
183;743000;1041000;742000;1042000;460356,2922;5555630,015;461347,7107;5554638,651;161500;26917;23 100;22 700;46 000;23 300;22 100;24 300;;;;;;;;;;
184;743000;1042000;742000;1043000;460356,2922;5554638,651;461347,7107;5553647,287;121300;17329;24 600;25 500;5 600;8 000;10 000;26 400;21 200;;;;;;;;;
185;743000;1043000;742000;1044000;460356,2922;5553647,287;461347,7107;5552655,923;323100;24854;34 200;19 900;30 300;55 900;7 900;13 700;18 500;103 800;9 200;5 400;7 500;5 100;11 700;;;
186;743000;1044000;742000;1045000;460356,2922;5552655,923;461347,7107;5551664,559;510500;36464;93 700;22 900;7 600;59 700;55 900;44 700;8 100;43 100;67 600;20 900;13 900;19 100;36 300;17 000;;
187;743000;1045000;742000;1046000;460356,2922;5551664,559;461347,7107;5550673,195;77000;19250;43 100;14 600;13 100;6 200;;;;;;;;;;;;
188;743000;1046000;742000;1047000;460356,2922;5550673,195;461347,7107;5549681,831;308500;38563;77 300;13 800;77 800;56 800;15 400;18 700;27 900;20 800;;;;;;;;
189;743000;1047000;742000;1048000;460356,2922;5549681,831;461347,7107;5548690,467;28500;14250;13 300;15 200;;;;;;;;;;;;;;
190;743000;1048000;742000;1049000;460356,2922;5548690,467;461347,7107;5547699,103;23000;11500;19 000;4 000;;;;;;;;;;;;;;
191;743000;1049000;742000;1050000;460356,2922;5547699,103;461347,7107;5546707,739;0;0;0;;;;;;;;;;;;;;;
192;743000;1050000;742000;1051000;460356,2922;5546707,739;461347,7107;5545716,375;74100;37050;11 600;62 500;;;;;;;;;;;;;;
193;743000;1051000;742000;1052000;460356,2922;5545716,375;461347,7107;5544725,011;0;0;0;;;;;;;;;;;;;;;
194;743000;1052000;742000;1053000;460356,2922;5544725,011;461347,7107;5543733,647;15300;15300;15 300;;;;;;;;;;;;;;;
195;743000;1053000;742000;1054000;460356,2922;5543733,647;461347,7107;5542742,283;0;0;0;;;;;;;;;;;;;;;
196;;14;;;;;;;0;0;0;;;;;;;;;;;;;;;
197;742000;1036000;741000;1037000;461347,7107;5560586,834;462339,1292;5559595,47;0;0;0;;;;;;;;;;;;;;;
198;742000;1037000;741000;1038000;461347,7107;5559595,47;462339,1292;5558604,107;38800;19400;9 700;29 100;;;;;;;;;;;;;;
199;742000;1038000;741000;1039000;461347,7107;5558604,107;462339,1292;5557612,743;75800;25267;19 300;9 800;46 700;;;;;;;;;;;;;
200;742000;1039000;741000;1040000;461347,7107;5557612,743;462339,1292;5556621,379;47500;47500;47 500;;;;;;;;;;;;;;;
201;742000;1040000;741000;1041000;461347,7107;5556621,379;462339,1292;5555630,015;173700;43425;10 600;130 000;17 200;15 900;;;;;;;;;;;;
202;742000;1041000;741000;1042000;461347,7107;5555630,015;462339,1292;5554638,651;220800;22080;24 100;26 600;28 100;15 000;23 400;8 100;6 800;12 200;29 400;47 100;;;;;;
203;742000;1042000;741000;1043000;461347,7107;5554638,651;462339,1292;5553647,287;428800;38982;35 500;21 400;105 900;28 300;21 300;13 100;93 500;4 600;5 100;17 700;82 400;;;;;
204;742000;1043000;741000;1044000;461347,7107;5553647,287;462339,1292;5552655,923;164500;18278;13 700;45 900;12 900;18 500;5 500;10 200;13 000;15 300;29 500;;;;;;;
205;742000;1044000;741000;1045000;461347,7107;5552655,923;462339,1292;5551664,559;202600;14471;13 900;19 100;9 500;18 800;20 300;7 400;13 700;7 100;5 000;4 100;21 700;15 600;26 700;19 700;;
206;742000;1045000;741000;1046000;461347,7107;5551664,559;462339,1292;5550673,195;112300;28075;11 000;29 500;55 600;16 200;;;;;;;;;;;;
207;742000;1046000;741000;1047000;461347,7107;5550673,195;462339,1292;5549681,831;700;233;300;200;200;;;;;;;;;;;;;
208;742000;1047000;741000;1048000;461347,7107;5549681,831;462339,1292;5548690,467;269400;44900;80 400;19 200;29 100;12 700;37 600;90 400;;;;;;;;;;
209;742000;1048000;741000;1049000;461347,7107;5548690,467;462339,1292;5547699,103;53100;26550;21 700;31 400;;;;;;;;;;;;;;
