fid;left;top;right;bottom;car_count_average;Area_of_cell;mixed_use_area_per_cell;final_average;;;;;;;;;;;;;;;;
159;458373.4552;5550673.195;459364.8737;5549681.831;24488,88889;1000000;963100;24488,88889;23500;24000;9900;15400;8000;17600;29900;59800;32300;0;0;0;0;0;0;0
160;458373.4552;5549681.831;459364.8737;5548690.467;22000;1000000;896300;22000;22000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
161;458373.4552;5548690.467;459364.8737;5547699.103;23000;1000000;727900;23000;23000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;458373.4552;5547699.103;459364.8737;5546707.739;0;1000000;755900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;458373.4552;5546707.739;459364.8737;5545716.375;10400;1000000;797800;10400;10400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;458373.4552;5545716.375;459364.8737;5544725.011;0;1000000;834200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;458373.4552;5544725.011;459364.8737;5543733.647;0;1000000;949500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;458373.4552;5543733.647;459364.8737;5542742.283;0;1000000;792700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;459364.8737;5560586.834;460356.2922;5559595.47;0;1000000;963700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;459364.8737;5559595.47;460356.2922;5558604.107;0;1000000;981000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;459364.8737;5558604.107;460356.2922;5557612.743;12900;1000000;850400;12900;12900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;459364.8737;5557612.743;460356.2922;5556621.379;0;1000000;762400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;459364.8737;5556621.379;460356.2922;5555630.015;0;1000000;932800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;459364.8737;5555630.015;460356.2922;5554638.651;26916,66667;1000000;837800;26916,66667;23100;22700;46000;23300;22100;24300;0;0;0;0;0;0;0;0;0;0
173;459364.8737;5554638.651;460356.2922;5553647.287;17328,57143;1000000;775300;17328,57143;24600;25500;5600;8000;10000;26400;21200;0;0;0;0;0;0;0;0;0
174;459364.8737;5553647.287;460356.2922;5552655.923;24853,84615;1000000;974900;24853,84615;34200;19900;30300;55900;7900;13700;18500;103800;9200;5400;7500;5100;11700;0;0;0
175;459364.8737;5552655.923;460356.2922;5551664.559;36464,28571;1000000;721000;36464,28571;93700;22900;7600;59700;55900;44700;8100;43100;67600;20900;13900;19100;36300;17000;0;0
176;459364.8737;5551664.559;460356.2922;5550673.195;19250;1000000;733400;19250;43100;14600;13100;6200;0;0;0;0;0;0;0;0;0;0;0;0
177;459364.8737;5550673.195;460356.2922;5549681.831;38562,5;1000000;985400;38562,5;77300;13800;77800;56800;15400;18700;27900;20800;0;0;0;0;0;0;0;0
178;459364.8737;5549681.831;460356.2922;5548690.467;14250;1000000;744700;14250;13300;15200;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;459364.8737;5548690.467;460356.2922;5547699.103;11500;1000000;735400;11500;19000;4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;459364.8737;5547699.103;460356.2922;5546707.739;0;1000000;899300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;459364.8737;5546707.739;460356.2922;5545716.375;37050;1000000;922000;37050;11600;62500;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;459364.8737;5545716.375;460356.2922;5544725.011;0;1000000;880700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;459364.8737;5544725.011;460356.2922;5543733.647;15300;1000000;957300;15300;15300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;459364.8737;5543733.647;460356.2922;5542742.283;0;1000000;915000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;460356.2922;5560586.834;461347.7107;5559595.47;0;1000000;993000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;460356.2922;5559595.47;461347.7107;5558604.107;19400;1000000;746300;19400;9700;29100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;460356.2922;5558604.107;461347.7107;5557612.743;25266,66667;1000000;827900;25266,66667;19300;9800;46700;0;0;0;0;0;0;0;0;0;0;0;0;0
188;460356.2922;5557612.743;461347.7107;5556621.379;47500;1000000;857400;47500;47500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;460356.2922;5556621.379;461347.7107;5555630.015;43425;1000000;909800;43425;10600;130000;17200;15900;0;0;0;0;0;0;0;0;0;0;0;0
190;460356.2922;5555630.015;461347.7107;5554638.651;22080;1000000;741000;22080;24100;26600;28100;15000;23400;8100;6800;12200;29400;47100;0;0;0;0;0;0
